player,player_id,position,team_name,player_game_count,assists,avg_depth_of_tackle,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,missed_tackle_rate,missed_tackles,penalties,run_stop_opp,snap_counts_run,stop_percent,stops,tackles
Kelechi Nwachuku,83908,S,UTSA,10,3,8.6,0,0,331,54.3,56.3,84.2,70.2,57.5,55.6,14.8,4,0,157,159,5.1,8,20
Tyrese Ross,83910,S,WASH STATE,10,4,7.8,0,1,341,58.5,57.2,3.6,60.0,57.9,30.0,25.8,8,2,130,133,3.1,4,19
Chad Davis Jr.,83913,S,WASH STATE,3,1,,0,0,341,67.9,58.7,74.9,,44.5,50.9,50.0,1,0,21,21,0.0,0,0
Reggie Pearson Jr.,83915,S,WISCONSIN,14,6,7.6,0,1,349,69.9,68.3,40.3,66.6,64.8,53.8,23.5,12,2,262,265,5.0,13,33
John Torchio,83916,S,WISCONSIN,5,1,9.7,0,0,349,66.0,61.9,78.3,58.0,51.7,54.6,20.0,1,0,32,32,6.3,2,3
Crishaun Lappin,84017,TE,NEVADA,1,0,,1,0,239,,60.0,60.0,,60.0,,,0,2,1,1,0.0,0,0
Payne Durham,84037,TE,PURDUE,1,0,,0,0,273,,60.0,60.0,,60.0,,,0,0,1,1,0.0,0,0
David Priebe,84067,TE,UCLA,1,0,,0,0,324,,60.0,60.0,,60.0,,,0,0,1,1,0.0,0,0
Greg Dulcich,84068,WR,UCLA,1,0,,0,0,324,,60.0,60.0,,60.0,,,0,0,1,1,0.0,0,0
Jaylen Waddle,84088,WR,ALABAMA,1,0,,0,0,103,,60.0,61.8,,60.0,,,0,0,1,1,0.0,0,0
Slade Bolden,84089,WR,ALABAMA,1,0,2.0,0,0,103,,60.0,60.0,,60.0,,0.0,0,0,1,1,100.0,1,1
Brandon Aiyuk,84109,WR,ARIZONA ST,1,0,,1,0,110,,60.1,60.0,,60.0,,,0,4,1,1,0.0,0,0
Anthony Schwartz,84135,WR,AUBURN,1,0,,0,0,115,60.0,62.8,78.7,,60.0,,,0,1,1,1,0.0,0,0
Matthew Hill,84138,WR,AUBURN,1,0,,1,0,115,60.0,62.9,60.0,,60.0,,,0,1,1,1,0.0,0,0
