player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
MJ Cunningham,82554,LB,OREGON,9,1,0,100.0,0,0,264,0,0,60.2,55.6,79.6,59.5,50.1,67.5,1,2,0,0,7,10.0,1,0,0,85.4,4,1,0,118,0,53,128,4,0,0,4,0,0,124,24,51,6,4,8,0,4,4,0,18,20,4.5
Nate Heaukulani,82556,LB,OREGON,3,0,0,100.0,0,0,264,0,0,51.0,53.1,71.6,67.1,54.0,32.3,0,0,0,0,16,50.0,1,0,0,118.8,1,1,0,17,0,8,21,4,0,0,4,0,0,17,4,9,0,1,1,0,1,1,0,16,5,16.0
Jacob Mangum-Farrar,82557,LB,STANFORD,1,2,0,,0,0,300,0,0,60.5,62.6,70.5,,62.1,78.2,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,8,0,2,10,0,0,0,0,0,0,10,0,8,2,0,0,0,0,0,0,0,0,
Ricky Miezan,82558,LB,STANFORD,2,0,0,100.0,0,0,300,0,0,73.7,80.6,76.0,68.4,71.6,81.0,1,1,0,0,4,0.0,0,0,0,83.3,1,0,0,22,0,13,28,2,0,0,2,0,0,26,7,8,4,2,6,0,1,2,0,4,7,4.0
Palaie Gaoteote IV,82559,LB,USC,8,10,0,88.2,0,0,326,0,0,53.2,64.3,85.3,53.0,74.3,47.7,0,5,0,0,19,20.6,14,0,2,93.1,15,0,0,421,0,227,507,60,0,0,60,0,1,447,46,234,25,27,44,4,17,5,0,108,101,7.2
Raymond Scott,82560,S,USC,1,0,0,100.0,0,0,326,0,0,45.5,46.7,72.5,,60.0,,0,0,0,0,27,,0,0,0,158.3,1,0,0,1,0,6,7,0,0,0,0,0,4,7,0,1,2,0,0,0,1,0,1,27,0,27.0
C.J. Goetz,82565,ED,WISCONSIN,4,0,0,,0,0,349,0,0,,61.7,82.1,57.9,62.3,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,11,8,0,0,8,0,0,3,3,8,0,0,0,0,0,0,0,0,0,
Jack Sanborn,82566,LB,WISCONSIN,14,16,0,66.7,0,1,349,1,0,83.8,72.8,82.5,77.3,56.5,38.3,4,14,0,3,20,24.0,24,3,0,37.4,20,5,0,698,0,393,780,10,0,0,10,0,0,770,83,304,72,44,60,4,30,23,0,139,98,7.0
Parker Noren,82644,LB,AIR FORCE,7,4,0,57.1,0,0,101,0,0,47.6,54.4,83.2,60.8,61.8,46.6,1,3,0,0,39,30.0,3,0,0,91.4,4,0,0,23,0,33,109,54,0,0,54,0,0,55,12,64,32,1,3,0,7,4,0,70,37,17.5
Ale Kaho,82646,LB,ALABAMA,8,6,0,100.0,0,0,103,0,0,45.4,56.8,76.9,60.0,68.2,62.4,0,0,0,0,11,15.8,3,0,0,142.9,5,0,0,77,2,39,89,1,0,0,1,0,0,88,1,49,8,7,10,1,5,0,1,44,37,8.8
