player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Austin Robinson,97597,WR,MIAMI OH,11,68.9,0,221,49.7,,62.7,0,0,0,0.0,0.0,,0,0,0,73,0,0,0,106,0,33,0,0,73,0
Daevon Robinson,84039,WR,RUTGERS,11,37.8,0,278,48.1,67.7,52.3,0,0,1,0.9,1.6,100.0,3,0,0,73,0,0,0,193,2,122,0,0,71,37
Hassan Haskins,83701,HB,MICHIGAN,12,24.4,0,222,77.2,67.7,56.0,0,2,38,27.9,28.5,94.7,0,3,1,73,0,0,0,299,41,144,0,0,32,0
Mike Sainristil,97180,WR,MICHIGAN,13,42.2,1,222,64.1,,70.6,0,0,0,0.0,0.0,,1,0,0,73,0,0,0,173,0,100,0,0,73,0
Anthony McFarland Jr.,57289,HB,MARYLAND,11,21.7,0,215,70.3,51.0,48.0,2,2,39,21.1,20.4,94.9,1,4,0,73,0,0,0,336,39,191,0,0,34,0
Rodney Smith,26306,HB,MINNESOTA,13,16.8,0,225,84.3,63.3,68.5,0,1,55,30.9,30.7,95.5,0,3,2,73,0,0,0,435,58,189,0,0,15,0
Khalan Laborn,57204,HB,FLORIDA ST,10,36.1,0,167,72.7,78.6,57.5,0,0,51,44.3,46.3,98.0,1,1,1,73,0,0,0,202,57,123,0,0,16,0
Mitch Rossi,57368,TE,OHIO STATE,11,92.4,0,260,65.7,71.6,63.6,0,0,6,60.0,54.5,100.0,0,0,0,73,0,0,0,79,6,11,0,0,67,71
Brandon LaBrie,77805,WR,MIAMI OH,10,79.3,0,221,56.7,,65.7,0,0,0,0.0,0.0,,0,0,0,73,0,0,0,92,0,19,0,0,73,0
Henry Roberts,36813,T,WASHINGTON,7,100.0,0,340,59.9,51.2,60.0,1,0,18,100.0,100.0,91.7,0,2,1,73,0,0,36,73,18,18,10,27,55,0
Chase Cord,60347,QB,BOISE ST,8,36.0,0,120,69.5,,60.1,0,0,0,0.0,0.0,,0,0,0,72,0,0,0,200,0,116,0,0,72,0
Abdul Adams,40414,HB,SYRACUSE,11,25.6,0,304,69.8,85.1,73.8,0,2,51,31.9,31.8,98.0,1,2,0,72,0,0,0,281,56,176,0,0,16,0
Aaron Young,97161,HB,RUTGERS,12,38.3,0,278,64.8,51.1,55.0,1,2,20,22.2,22.1,92.5,0,3,0,72,0,0,0,188,21,95,0,0,51,1
Devin Brumfield,83788,HB,UTAH,14,37.1,0,328,69.2,68.3,62.4,0,0,25,30.5,28.7,96.0,0,1,1,72,0,0,0,194,25,87,0,0,47,0
Cagan Baldree,41502,FB,TEXAS A&M,12,94.7,0,312,68.6,71.8,68.7,0,0,1,20.0,20.0,100.0,0,0,0,72,0,0,0,76,1,5,0,0,71,0
Cornell Hendrick Jr.,84359,WR,DOMINION,10,38.7,0,263,50.7,,68.3,0,0,0,0.0,0.0,,1,0,0,72,0,0,0,186,0,110,0,0,72,0
Myles Brennan,60438,QB,LSU,10,55.8,0,211,71.7,,60.0,0,0,0,0.0,0.0,,0,0,0,72,0,0,0,129,0,45,0,0,72,0
Alesana Sunia,38447,G,HAWAII,2,100.0,0,180,42.9,28.0,52.6,1,1,41,100.0,100.0,95.1,3,3,1,72,0,0,0,72,43,43,72,0,29,0
Cam Craig,101598,G,PURDUE,1,100.0,0,273,64.6,51.7,67.4,1,0,39,100.0,100.0,98.7,0,1,0,72,0,72,0,72,46,46,0,0,26,0
Walker Little,52287,T,STANFORD,1,100.0,0,300,57.2,84.6,44.0,0,0,42,100.0,100.0,100.0,0,0,0,72,0,0,72,72,44,44,0,0,28,0
Thomas Reid III,61132,WR,ARIZONA,10,57.6,0,109,62.5,,64.0,0,0,0,0.0,0.0,,1,0,0,72,0,0,0,125,0,53,0,0,72,0
Aaron Jarman,77894,TE,TEMPLE,12,89.9,0,306,56.3,62.4,51.9,0,0,9,52.9,52.9,100.0,0,0,0,71,0,0,0,79,9,17,0,0,62,75
Treyton Welch,98097,TE,WYOMING,8,68.3,0,351,57.3,74.0,58.2,0,0,7,17.9,17.5,100.0,0,0,0,71,0,0,0,104,7,40,0,0,64,79
Bam Knight,97432,HB,NC STATE,12,22.3,0,248,65.4,31.5,42.4,0,3,56,34.8,33.7,95.5,1,4,1,71,0,0,0,319,56,166,0,0,15,0
David Bailey,77792,HB,BOSTON COL,13,22.9,1,121,80.3,56.1,52.5,0,1,33,27.5,27.6,98.5,1,1,0,71,0,0,0,310,34,123,0,0,37,0
Marlyn Johnson,98289,WR,BUFFALO,4,65.1,0,126,55.4,,63.6,0,0,0,0.0,0.0,,1,0,0,71,0,0,0,109,0,38,0,0,71,0
Jordon Brown,39916,HB,KANSAS ST,11,28.2,0,199,68.5,55.7,67.3,2,2,35,27.6,28.4,94.3,0,4,0,71,0,0,0,252,38,134,0,0,33,0
Lyn-J Dixon,77712,HB,CLEMSON,15,24.6,0,140,72.7,31.4,57.2,0,2,52,32.3,31.1,96.2,0,3,1,71,0,0,0,289,52,167,0,0,19,0
De'Michael Harris,84418,HB,SO MISS,12,18.5,0,296,69.9,72.1,60.1,0,0,27,12.4,12.8,100.0,0,0,0,71,0,0,0,383,29,226,0,0,42,2
Patrick Carr,34491,HB,HOUSTON,6,35.1,0,182,74.4,75.1,48.8,0,1,31,34.8,34.4,98.4,0,1,0,71,0,0,0,202,33,96,0,0,38,0
John Stephens Jr.,78108,WR,TCU,12,38.4,0,305,55.3,,64.0,0,0,0,0.0,0.0,,1,0,0,71,0,0,0,185,0,114,0,0,71,0
Jalen Johnson,97785,WR,ARIZONA,10,36.0,0,109,53.1,,54.0,0,0,0,0.0,0.0,,0,0,0,71,0,0,0,197,0,126,0,0,71,0
PK Kier,62769,HB,VIRGINIA,13,58.7,0,335,75.0,72.8,65.5,1,0,36,66.7,67.3,98.6,1,1,0,71,0,0,0,121,37,55,0,0,34,1
Tyre Shelton,77038,HB,MIAMI OH,14,28.4,0,221,76.1,79.7,48.6,1,0,40,36.7,37.4,98.7,1,1,0,71,0,0,0,250,43,115,0,0,28,0
Isaiah Esdale,88318,WR,W VIRGINIA,10,34.8,1,343,62.9,,56.2,0,0,0,0.0,0.0,,1,0,0,71,0,0,0,204,0,133,0,0,71,0
