player,player_id,position,team_name,player_game_count,assists,avg_depth_of_target,catch_rate,coverage_percent,coverage_snaps_per_reception,coverage_snaps_per_target,declined_penalties,dropped_ints,forced_incompletes,forced_incompletion_rate,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_coverage,snap_counts_pass_play,stops,tackles,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,yards_per_reception
Preston Ellison,77167,LB,SMU,2,0,,,70.0,,,0,0,0,,287,50.5,41.0,71.0,55.8,48.3,20.1,0,,100.0,1,0,0,0.0,0,7,10,0,0,0,0,0,0,0.0,
James Patterson,77169,LB,BUFFALO,10,2,3.8,70.0,88.9,13.7,9.6,1,0,0,0.0,126,64.0,73.2,37.4,84.1,77.3,64.1,1,41,30.8,4,0,2,86.0,14,208,234,4,7,20,1,143,111,0.7,10.2
Sam Bruchhaus,77173,LB,TULANE,1,0,,,100.0,,,0,0,0,,319,60.0,72.5,66.0,,67.8,73.1,0,,,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0.0,
Kevon Jones,77179,ED,UCONN,10,1,,,0.4,,,0,0,0,,146,84.2,62.8,31.9,65.1,58.9,68.2,0,,0.0,0,0,3,0.0,0,1,242,4,4,0,0,0,0,0.0,
Donavan Mutin,77180,LB,HOUSTON,12,3,4.8,80.6,84.5,13.9,11.2,0,0,1,3.2,182,38.6,52.3,86.9,54.8,65.2,76.9,1,47,10.5,2,0,0,118.1,25,360,426,4,14,31,2,323,241,0.9,12.9
Zamar Kirven,77181,LB,HOUSTON,8,1,4.7,73.7,82.0,9.4,6.9,0,0,1,5.3,182,52.5,57.0,82.9,71.5,56.7,49.5,1,13,22.2,4,1,0,83.2,14,137,167,4,13,19,1,110,64,0.8,7.9
Antonio Grier,77185,LB,USF,12,0,3.6,83.3,76.0,9.8,8.2,0,1,1,5.6,327,50.4,55.9,47.4,70.2,56.7,83.6,0,30,28.6,4,1,1,104.2,15,152,200,9,10,18,0,162,112,1.1,10.8
Dwayne Boyles,77186,LB,USF,12,3,6.4,70.8,70.5,12.7,9.0,1,0,2,8.3,327,76.0,60.4,43.7,65.3,49.1,75.7,0,50,9.5,2,1,2,110.9,17,222,315,13,16,24,1,207,140,1.0,12.2
Drew Mims,77187,LB,USF,8,0,3.8,75.0,85.9,8.7,6.5,0,0,0,0.0,327,55.9,59.6,77.8,68.6,59.7,90.0,0,17,0.0,0,0,0,136.5,6,55,64,4,4,8,1,62,27,1.2,10.3
Gerard Stringer,77188,CB,E CAROLINA,12,6,9.0,69.8,91.7,9.8,6.8,0,0,2,4.7,156,64.5,68.3,61.0,55.5,78.8,70.8,2,48,28.1,9,2,1,93.6,30,308,336,4,17,43,2,384,213,1.3,12.8
Zaven Collins,77190,LB,TULSA,12,1,3.2,62.5,83.6,30.3,18.9,0,0,3,18.8,320,80.2,77.9,84.2,59.1,75.5,56.5,0,21,20.0,3,3,0,79.7,10,337,403,9,11,16,0,98,94,0.3,9.8
Jireh Wilson,77192,S,E CAROLINA,10,0,14.8,60.0,94.8,8.1,4.9,0,0,1,4.0,156,54.3,58.7,81.2,60.9,64.2,67.2,0,73,16.7,2,0,0,100.1,15,128,135,3,10,25,1,208,81,1.7,13.9
Eldridge Salguero,77194,LB,BOWL GREEN,5,0,3.3,100.0,76.0,6.3,6.3,0,0,0,0.0,122,43.1,50.8,78.9,57.0,57.3,33.6,0,17,50.0,1,0,0,104.2,3,19,25,0,1,3,0,27,17,1.4,9.0
Brian Asamoah II,77195,LB,OKLAHOMA,7,0,2.2,83.3,73.0,10.0,8.3,0,0,1,16.7,261,52.5,62.2,78.4,59.2,70.5,65.0,0,38,40.0,2,1,0,158.3,5,54,74,4,3,6,1,76,62,1.5,15.2
Nik Bonitto,77196,ED,OKLAHOMA,14,2,3.0,63.6,47.2,15.0,9.5,0,1,3,27.3,261,88.5,78.9,69.2,72.9,71.0,68.1,1,11,9.1,1,2,1,38.4,7,117,248,7,8,11,0,56,38,0.5,8.0
DaShaun White,77198,LB,OKLAHOMA,14,1,6.3,80.0,83.5,15.1,12.1,0,0,0,0.0,261,57.7,60.2,84.6,65.1,59.3,69.8,0,33,0.0,0,0,1,136.7,16,259,310,2,10,20,2,176,72,0.7,11.0
Carson Kropp,77200,LB,OKLA STATE,1,0,5.0,0.0,100.0,,1.0,0,0,0,0.0,262,60.0,53.5,65.0,,65.6,74.3,0,,,0,0,0,39.6,0,1,1,0,0,1,0,0,0,0.0,
Ayodele Adeoye,77203,LB,TEXAS,12,3,5.9,88.2,72.3,16.0,14.1,0,1,1,5.9,311,57.2,53.5,84.6,55.6,51.6,68.5,1,70,12.5,2,1,0,133.3,15,248,343,7,11,17,2,212,144,0.9,14.1
Joseph Ossai,77205,LB,TEXAS,13,3,3.1,83.3,53.6,12.5,10.4,1,0,0,0.0,311,70.1,70.8,16.1,63.1,74.6,38.7,2,36,33.3,8,0,4,68.1,20,263,491,11,13,24,0,208,191,0.8,10.4
Byron Vaughns,77206,ED,TEXAS,4,0,6.2,80.0,50.0,5.5,4.4,0,0,0,0.0,311,36.1,53.8,80.4,65.0,64.7,41.7,0,22,100.0,1,0,0,132.9,4,23,46,0,0,5,1,32,13,1.5,8.0
Ben Wilson,77208,LB,TCU,6,4,1.6,100.0,88.9,9.7,9.7,0,0,0,0.0,305,75.2,66.8,77.3,57.7,55.8,66.4,0,12,0.0,0,0,0,88.4,9,96,108,7,9,9,0,47,33,0.5,5.2
Jake Abbott,77212,LB,W VIRGINIA,2,0,,,100.0,,,0,0,0,,343,60.8,65.5,72.9,,65.1,75.8,0,,,0,0,0,0.0,0,3,3,0,0,0,0,0,0,0.0,
Josh Chandler-Semedo,77214,LB,W VIRGINIA,10,4,4.1,80.0,79.1,13.5,10.8,0,0,2,13.3,343,74.1,75.2,51.2,54.3,78.4,86.4,0,25,10.5,2,2,1,96.4,12,167,211,5,13,15,0,107,86,0.7,8.9
Mike Rose,77218,LB,IOWA STATE,13,5,3.4,80.0,81.4,8.8,7.0,0,2,2,3.6,193,79.5,75.8,65.7,62.1,72.1,60.3,1,25,15.6,7,2,1,96.5,44,398,489,22,33,55,2,334,222,0.9,7.6
Gerry Vaughn,77220,CB,IOWA STATE,1,0,,,100.0,,,0,0,0,,193,63.7,61.2,71.1,,55.6,75.1,0,,,0,0,0,0.0,0,5,5,0,0,0,0,0,0,0.0,
Hunter Webb,77225,LB,UCONN,3,0,,,100.0,,,0,0,0,,146,63.2,62.1,72.4,,59.2,74.3,0,,,0,0,0,0.0,0,9,9,0,0,0,0,0,0,0.0,
Nick Allen,77229,LB,KANSAS ST,2,0,2.5,50.0,100.0,7.0,3.5,0,0,1,50.0,199,76.6,68.9,70.1,,50.6,73.1,0,2,,0,1,0,56.3,1,7,7,0,0,2,0,2,1,0.3,2.0
Cody Fletcher,77231,LB,KANSAS ST,7,1,7.7,55.6,94.3,9.2,5.1,0,0,2,22.2,199,66.5,68.3,78.8,54.5,68.5,47.6,0,19,25.0,1,2,0,74.3,5,50,53,2,2,9,0,56,27,1.2,11.2
Daniel Green,77232,LB,KANSAS ST,13,4,6.1,50.0,86.0,15.2,7.6,0,1,2,10.0,199,35.8,53.9,81.7,65.9,68.8,50.5,0,70,33.3,4,2,0,116.5,10,160,186,4,4,20,2,189,114,1.2,18.9
Xavier Benson,77236,LB,TEXAS TECH,12,5,2.5,81.1,76.2,9.8,7.9,0,0,2,5.4,315,61.8,62.8,87.0,57.5,63.9,66.2,0,48,11.5,3,0,1,101.5,30,307,403,12,18,37,1,229,182,0.8,7.6
Brandon Perce,77241,LB,BOWL GREEN,11,7,7.1,71.9,86.6,12.7,9.2,0,0,1,3.1,122,61.3,52.8,4.8,63.6,49.4,53.5,2,60,18.2,8,1,4,103.9,23,305,352,12,29,32,3,282,148,1.0,12.3
Matt Harmon,77244,ED,KENT STATE,5,0,4.0,100.0,25.0,5.0,5.0,1,0,0,0.0,201,52.2,52.4,11.0,55.1,57.7,46.2,0,13,,0,0,1,118.8,1,5,20,0,0,1,0,13,9,2.6,13.0
Sebastian Spear,77245,ED,KENT STATE,2,0,,,25.0,,,0,0,0,,201,52.5,38.5,74.7,58.5,49.6,25.6,0,,100.0,1,0,0,0.0,0,1,4,0,0,0,0,0,0,0.0,
Daniel Bolden,77252,LB,TOLEDO,12,2,4.9,66.7,82.7,10.2,6.8,0,0,0,0.0,316,72.4,79.4,77.6,50.1,82.3,74.9,0,24,16.7,2,0,0,85.9,6,62,75,4,8,9,0,61,39,1.0,10.2
Kobie Beltram,77260,LB,E MICHIGAN,13,11,3.4,82.1,89.1,11.4,9.4,0,1,4,10.3,160,73.3,64.2,63.2,59.4,57.8,87.7,0,28,4.8,2,4,1,126.9,32,385,432,11,29,39,3,324,203,0.9,10.1
Matthew Buschman,77262,LB,E MICHIGAN,2,0,1.0,100.0,100.0,5.0,5.0,0,0,0,0.0,160,52.4,55.8,72.4,,62.2,80.1,0,8,0.0,0,0,0,100.0,1,6,6,0,1,1,0,8,7,1.6,8.0
