player,player_id,position,team_name,player_game_count,assists,avg_depth_of_target,catch_rate,coverage_percent,coverage_snaps_per_reception,coverage_snaps_per_target,declined_penalties,dropped_ints,forced_incompletes,forced_incompletion_rate,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_coverage,snap_counts_pass_play,stops,tackles,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,yards_per_reception
Gerald Smith,76617,CB,BALL ST,2,0,14.5,50.0,93.3,14.0,7.0,0,0,0,0.0,117,60.3,64.4,75.3,66.8,62.0,,0,8,,0,0,0,60.4,1,14,15,0,0,2,0,8,2,0.6,8.0
Amechi Uzodinma II,76619,CB,BALL ST,12,0,17.2,46.8,99.8,14.3,6.7,1,1,12,19.4,117,71.7,68.9,85.6,58.1,52.6,39.5,5,64,10.0,3,11,3,40.1,29,431,432,4,27,62,0,485,121,1.2,16.7
Justin Birchette,76620,CB,OHIO,6,2,18.1,21.4,97.9,15.0,3.2,0,0,5,35.7,259,63.8,61.9,0.0,59.3,66.2,83.8,0,38,0.0,0,4,1,66.4,3,47,48,1,7,14,1,52,14,1.2,17.3
Elmore Hempstead Jr.,76621,CB,KANSAS,7,1,14.5,30.8,98.4,15.0,4.6,0,1,6,46.2,198,78.7,74.1,79.5,59.1,54.1,51.6,0,14,22.2,2,4,2,40.2,4,62,63,1,6,13,0,28,5,0.5,7.0
A.J. Lytton,76623,CB,FLORIDA ST,9,0,13.3,55.6,100.0,18.8,10.4,0,0,0,0.0,167,66.3,70.1,81.2,,80.3,66.2,0,13,16.7,1,0,3,66.4,5,103,103,3,5,9,0,39,12,0.4,7.8
Jaiden Woodbey,76624,LB,FLORIDA ST,4,2,4.7,63.6,87.3,19.4,12.4,0,0,2,18.2,167,59.7,57.7,85.1,63.2,52.9,76.3,0,13,0.0,0,1,0,72.2,7,144,165,1,5,11,0,45,21,0.3,6.4
Asante Samuel Jr.,76625,CB,FLORIDA ST,12,3,12.7,50.7,98.7,13.1,6.6,0,3,14,20.9,167,78.7,76.9,56.0,51.4,67.7,65.8,1,74,8.7,4,9,3,75.0,34,469,475,14,39,67,2,432,105,1.0,12.7
Isaiah Bolden,76626,CB,FLORIDA ST,9,0,10.3,55.6,98.6,6.3,3.5,0,0,1,5.6,167,49.8,52.2,79.2,59.1,67.5,64.0,1,28,25.0,2,1,1,86.6,10,68,69,2,6,18,2,105,35,1.7,10.5
Marquis Williams,76627,CB,PITTSBURGH,2,0,15.8,83.3,100.0,2.2,1.8,0,0,0,0.0,268,38.0,40.7,72.1,,64.0,79.3,0,50,0.0,0,0,0,154.9,5,11,11,2,3,6,1,70,9,6.4,14.0
Erick Hallett,76631,CB,PITTSBURGH,9,1,12.5,47.6,93.6,11.1,5.3,0,0,2,9.5,268,58.7,61.3,82.2,57.9,72.7,68.7,0,41,22.2,2,2,0,69.1,10,117,125,3,6,21,0,138,44,1.2,13.8
Elijah Jones,76632,CB,BOSTON COL,11,0,10.4,61.1,99.0,18.3,11.2,0,0,1,5.6,121,65.2,62.2,83.6,55.2,45.5,55.7,0,29,14.3,3,1,1,103.2,11,204,206,5,18,18,1,137,45,0.7,12.5
Aaron Gethers,76633,CB,BOSTON COL,3,0,,,100.0,,,0,0,0,,121,60.9,62.1,74.9,,63.4,73.5,0,,0.0,0,0,0,0.0,0,12,12,1,1,0,0,0,0,0.0,
Jason Maitre,76634,CB,BOSTON COL,11,0,14.5,60.0,99.6,10.1,6.1,1,1,6,15.0,121,57.2,57.4,84.2,58.9,57.4,69.2,1,85,9.1,2,5,4,111.3,24,257,258,3,20,40,3,428,187,1.8,17.8
Kenneth Dicks III,76635,CB,WAKE,3,0,0.0,66.7,86.7,6.5,4.3,0,0,0,0.0,339,50.4,53.1,78.9,58.2,58.3,53.3,0,14,,0,0,0,86.8,2,13,15,0,0,3,0,21,29,1.6,10.5
Zion Keith,76637,S,WAKE,6,0,8.8,100.0,86.5,8.0,8.0,0,0,0,0.0,339,47.9,54.8,77.3,61.2,72.2,60.6,0,55,50.0,1,0,0,118.8,4,32,37,0,1,4,0,74,39,2.3,18.5
Nasir Greer,76638,S,WAKE,12,1,8.3,78.6,97.4,16.2,12.8,0,0,2,7.1,339,73.4,74.6,16.6,85.3,74.1,53.8,1,33,27.0,10,1,2,125.0,22,368,378,5,26,28,3,252,100,0.7,11.5
Brendan Radley-Hiles,76640,S,OKLAHOMA,14,6,6.4,68.8,93.1,15.3,10.5,0,0,2,6.3,261,63.7,59.3,4.9,56.4,55.4,43.9,2,26,14.3,4,1,4,75.3,22,366,393,4,18,32,1,242,138,0.7,11.0
Andre Cisco,76641,S,SYRACUSE,9,5,8.7,72.2,100.0,11.2,8.1,0,1,5,13.9,304,61.0,58.0,88.0,,51.1,68.6,5,90,9.4,3,5,0,105.8,26,304,304,4,24,36,6,376,178,1.3,14.5
Trill Williams,76643,CB,SYRACUSE,11,2,9.0,64.1,94.7,11.7,7.5,0,0,2,5.1,304,66.2,68.5,46.6,67.0,75.6,61.3,1,64,19.2,5,2,3,98.7,25,302,319,4,19,39,2,344,165,1.2,13.8
DeAndre Hollins,76647,CB,N CAROLINA,11,0,10.1,50.0,96.9,11.2,5.6,0,0,5,15.6,245,54.6,56.4,82.8,53.7,67.1,86.6,0,48,0.0,0,3,4,80.6,16,187,193,2,10,32,1,203,40,1.1,12.7
Graham Eklund,76648,CB,N CAROLINA,1,0,23.0,100.0,100.0,5.0,5.0,0,0,0,0.0,245,48.1,49.6,73.3,,60.3,74.8,0,26,0.0,0,0,0,118.8,1,5,5,0,1,1,0,26,3,5.2,26.0
Javon Terry,76649,CB,N CAROLINA,2,0,9.0,100.0,91.7,11.0,11.0,0,0,0,0.0,245,65.7,69.8,73.7,71.9,60.0,73.0,0,9,,0,0,0,104.2,1,11,12,1,0,1,0,9,0,0.8,9.0
Trey Morrison,76650,CB,N CAROLINA,10,2,14.6,53.3,99.6,10.5,5.6,1,0,3,6.7,245,61.0,61.9,84.3,60.0,63.7,67.3,1,41,8.7,2,1,5,62.4,24,263,264,5,19,45,0,271,61,1.1,11.3
Damel Hickman,76651,CB,E CAROLINA,1,0,,,100.0,,,0,0,0,,156,60.0,60.9,67.1,,60.0,,0,,,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0.0,
Jaylon King,76652,S,GA TECH,9,0,3.0,60.0,95.9,14.3,8.6,0,0,1,20.0,176,48.1,56.2,79.9,58.6,69.0,29.8,0,12,62.5,5,1,1,77.1,3,47,49,0,3,5,0,30,25,0.7,10.0
Zamari Walton,76654,CB,GA TECH,11,1,13.9,64.5,99.6,12.3,7.9,0,0,4,12.9,176,61.1,60.0,10.6,60.0,61.6,41.5,0,62,24.0,6,2,3,125.6,20,261,262,5,18,31,3,279,96,1.1,14.0
Juanyeh Thomas,76655,S,GA TECH,12,2,5.5,73.1,98.9,13.4,9.8,0,0,3,11.5,176,80.8,80.0,47.1,58.1,77.1,77.6,1,26,8.3,3,3,1,89.9,19,269,272,10,31,26,1,188,122,0.7,9.9
Heskin Smith,76658,CB,VIRGINIA,5,0,15.5,62.5,92.9,6.9,4.3,0,0,4,12.5,335,47.8,52.0,81.1,56.4,66.9,73.9,0,56,7.1,1,2,1,138.8,20,145,156,0,13,32,4,346,66,2.5,17.3
Chamarri Conner,76662,CB,VA TECH,13,3,11.2,54.8,87.1,10.4,5.7,1,1,6,9.7,337,72.4,74.1,33.9,76.1,72.2,66.4,1,47,15.9,7,5,3,89.5,34,370,425,18,34,62,4,401,123,1.1,11.8
Armani Chatman,76663,CB,VA TECH,9,3,14.6,66.7,98.8,10.7,7.1,0,1,5,23.8,337,75.3,72.5,17.1,57.6,61.4,67.7,0,30,12.5,2,4,2,127.0,14,158,160,4,11,21,4,150,36,1.0,10.7
Jermaine Waller,76664,CB,VA TECH,12,0,16.2,39.2,97.3,20.9,8.2,0,0,16,31.4,337,84.5,81.8,46.0,68.8,69.0,66.9,3,58,9.5,2,8,4,57.6,20,436,448,4,19,51,4,260,63,0.6,13.0
Tanner Ingle,76667,S,NC STATE,11,3,6.1,76.6,93.6,10.9,8.4,0,0,3,6.4,248,44.1,53.4,28.6,86.4,61.5,41.5,0,51,20.5,8,3,2,119.5,36,409,437,12,28,47,3,364,202,0.9,10.1
Gilbert Frierson,76668,S,MIAMI FL,13,1,7.7,47.4,89.4,10.6,5.0,0,1,2,10.5,220,66.0,64.7,78.8,56.2,62.8,43.5,1,65,33.3,2,2,1,52.5,9,101,113,0,3,19,0,150,76,1.6,16.7
Al Blades Jr.,76669,CB,MIAMI FL,13,1,13.1,43.9,98.1,16.8,7.4,0,0,6,14.6,220,70.6,66.6,42.5,50.2,52.9,44.5,2,39,18.2,4,5,2,42.7,18,317,323,7,17,41,0,240,104,0.8,13.3
DJ Ivey,76670,CB,MIAMI FL,12,0,12.4,60.5,99.1,13.3,8.0,0,0,1,2.6,220,50.9,52.0,85.2,52.4,58.2,58.1,3,49,14.8,4,1,1,84.0,23,322,325,13,23,38,3,347,119,1.1,15.1
Gurvan Hall Jr.,76671,S,MIAMI FL,13,5,10.5,58.8,90.1,17.3,10.1,0,1,4,11.8,220,74.4,76.2,55.3,74.5,74.6,73.8,1,20,12.2,5,3,1,88.4,20,366,406,9,31,34,3,164,52,0.5,8.2
Caleb Clear,76673,CB,NAVY,1,0,,,100.0,,,0,0,0,,237,61.5,60.9,71.2,,58.7,28.1,0,,,0,0,0,0.0,0,2,2,0,0,0,0,0,0,0.0,
Michael McMorris,76674,CB,NAVY,13,3,10.4,57.4,98.1,11.2,6.4,0,2,10,18.5,237,72.0,75.4,85.7,57.6,85.6,65.7,1,53,14.3,5,7,2,81.9,31,358,365,8,27,54,2,355,198,1.0,11.5
Mitchell West,76676,S,NAVY,2,1,0.0,100.0,100.0,4.0,4.0,0,0,0,0.0,237,53.3,55.0,72.0,,60.1,74.8,0,9,0.0,0,0,0,104.2,1,4,4,0,0,1,0,9,9,2.3,9.0
Daniel Taylor,76679,CB,NAVY,6,0,8.8,50.0,96.3,6.3,3.1,0,0,0,0.0,237,40.3,46.3,76.1,65.4,68.1,76.6,0,28,0.0,0,0,0,75.5,4,26,27,0,2,8,0,61,28,2.4,15.3
Chike Otaluka,76680,CB,NAVY,1,0,41.0,0.0,100.0,,1.0,0,0,0,0.0,237,60.0,42.3,65.6,,60.0,,0,,,0,0,0,39.6,0,1,1,0,0,1,0,0,0,0.0,
Jeremy Webb,76681,CB,VA TECH,1,0,,,100.0,,,0,0,0,,337,62.2,64.5,70.3,,63.6,73.5,0,,,0,0,0,0.0,0,4,4,0,0,0,0,0,0,0.0,
Dyllon Lester,76682,CB,UCF,7,1,9.6,44.4,96.7,21.3,9.4,0,0,1,11.1,323,56.4,53.0,82.0,67.0,38.4,49.0,0,17,14.3,1,1,1,61.3,4,89,92,1,5,9,0,48,25,0.6,12.0
Jermaine McMillian,76684,CB,UCF,2,1,26.0,0.0,100.0,,6.0,0,0,0,0.0,323,54.3,54.9,72.3,,60.0,77.0,0,,0.0,0,0,0,39.6,0,7,7,0,0,1,0,0,0,0.0,
Derek Gainous,76685,S,UCF,7,1,6.3,100.0,100.0,19.3,19.3,0,0,0,0.0,323,61.9,63.3,80.5,,64.9,65.9,0,16,0.0,0,0,0,156.3,3,63,63,0,2,3,1,36,17,0.6,12.0
Quindell Johnson,76689,S,MEMPHIS,14,1,13.9,32.3,95.6,28.6,9.2,0,0,3,9.7,218,69.7,72.0,86.9,70.3,71.6,75.0,2,47,5.9,1,1,0,26.3,10,301,315,4,15,31,0,180,71,0.6,18.0
Chris Claybrooks,76692,CB,MEMPHIS,9,1,13.4,69.4,95.9,7.2,5.0,0,0,2,5.6,218,51.2,52.8,27.1,61.7,61.0,73.1,1,53,8.0,2,1,2,101.4,25,189,197,3,22,36,1,378,144,2.1,15.1
Messiah Turner,76699,S,UCONN,2,0,11.0,0.0,100.0,,32.0,0,0,1,100.0,146,69.0,63.1,76.9,,53.3,31.3,0,,33.3,1,1,0,39.6,0,32,32,0,2,1,0,0,0,0.0,
Keyshawn Paul,76700,CB,UCONN,12,0,13.1,48.9,97.4,12.3,6.0,0,1,6,12.8,146,66.6,65.9,47.5,54.9,65.8,47.5,1,73,19.0,4,2,5,86.7,23,300,308,2,17,47,3,355,152,1.3,15.4
Myles Berry,76702,LB,E CAROLINA,8,0,-0.3,75.0,90.9,20.0,15.0,0,0,0,0.0,156,63.7,52.9,77.8,54.2,44.7,61.5,0,15,0.0,0,0,0,81.3,3,60,66,1,2,4,0,16,31,0.3,5.3
Jordan Morrison,76703,LB,UCONN,1,0,,,100.0,,,0,0,0,,146,66.1,66.0,69.6,,61.3,50.4,0,,0.0,0,0,0,0.0,0,10,10,1,1,0,0,0,0,0.0,
Oneil Robinson,76704,S,UCONN,9,0,15.8,73.3,100.0,7.3,5.3,0,0,0,0.0,146,41.8,46.6,84.5,,55.2,33.8,1,74,42.9,3,0,0,127.1,11,86,86,1,4,15,3,221,109,2.8,20.1
Troy Hurst,76705,CB,MEMPHIS,2,0,,,100.0,,,0,0,0,,218,62.1,62.8,69.0,,60.0,,0,,,0,0,0,0.0,0,3,3,0,0,0,0,0,0,0.0,
Gleson Sprewell,76707,S,HOUSTON,4,1,17.5,72.7,100.0,15.3,11.1,0,0,0,0.0,182,48.2,51.4,84.8,,60.7,33.9,1,53,20.0,3,0,0,116.5,8,124,124,0,11,11,3,184,46,1.5,23.0
Garrison Vaughn,76708,S,HOUSTON,7,1,12.1,45.8,100.0,14.9,6.8,0,1,5,20.8,182,60.2,59.2,85.4,,54.8,42.3,0,21,20.0,4,4,1,59.9,11,172,172,3,15,24,0,113,35,0.7,10.3
Torey Richardson,76711,CB,HOUSTON,2,0,10.0,100.0,100.0,7.0,7.0,0,0,0,0.0,182,55.8,58.5,71.8,,64.5,76.2,0,10,0.0,0,0,0,108.3,1,7,7,0,1,1,0,10,0,1.4,10.0
Michael Witherspoon,76712,CB,E CAROLINA,2,1,13.4,81.8,97.9,5.0,4.1,1,0,0,0.0,156,37.6,42.8,77.7,55.4,70.0,69.9,0,37,12.5,1,0,1,114.8,9,47,48,1,6,11,0,127,42,2.8,14.1
Warren Saba,76713,CB,E CAROLINA,9,1,6.7,80.0,92.6,6.0,4.8,0,0,2,13.3,156,64.1,62.1,0.0,62.1,65.8,86.1,0,51,0.0,0,2,3,125.8,12,75,81,2,7,15,1,133,68,1.8,11.1
Nolan Johnson,76714,S,E CAROLINA,2,1,13.3,50.0,100.0,23.5,11.8,0,0,0,0.0,156,63.5,59.3,79.4,,46.6,47.7,0,13,20.0,1,0,0,64.6,2,48,48,1,3,4,0,20,5,0.4,10.0
Jaren Rainey,76715,S,E CAROLINA,2,0,4.0,100.0,100.0,5.5,5.5,0,0,0,0.0,156,66.7,68.8,74.1,,67.4,80.1,0,5,0.0,0,0,0,83.3,2,11,11,0,1,2,0,8,0,0.7,4.0
Daniel Charles,76716,S,E CAROLINA,12,6,10.0,63.3,97.3,16.0,10.1,0,1,2,6.7,156,55.9,57.2,87.7,67.6,56.8,56.9,2,94,11.1,3,2,1,118.7,19,323,332,3,18,30,5,443,276,1.5,23.3
Miguel Edwards,76720,CB,OKLAHOMA,1,0,,,100.0,,,0,0,0,,261,63.7,64.3,68.4,,,,0,,,0,0,0,0.0,0,5,5,0,0,0,0,0,0,0.0,
Jalen Green,76723,CB,TEXAS,10,2,14.0,47.6,97.7,12.2,5.8,1,0,8,19.0,311,63.8,62.1,21.0,65.7,54.8,49.6,0,41,25.0,6,4,3,71.2,20,251,257,4,16,42,0,297,100,1.2,14.9
Anthony Cook,76724,CB,TEXAS,11,1,12.7,62.1,98.1,14.2,8.8,0,0,3,10.3,311,63.2,63.2,83.6,54.8,61.5,60.1,0,39,20.0,4,1,2,111.1,18,265,270,6,15,29,2,239,47,0.9,13.3
Caden Sterns,76725,S,TEXAS,9,2,9.6,70.4,94.5,14.7,10.4,0,0,1,3.7,311,65.0,66.0,85.3,66.4,63.8,58.5,0,61,14.3,5,1,1,119.4,19,290,307,7,28,27,1,300,113,1.1,15.8
Tyler Days,76727,S,BOSTON COL,2,0,,,100.0,,,0,0,0,,121,64.1,58.2,72.5,,52.2,28.6,0,,,0,0,0,0.0,0,7,7,0,0,0,0,0,0,0.0,
B.J. Foster,76728,S,TEXAS,9,1,7.5,78.1,81.2,10.9,8.5,0,0,1,3.1,311,63.4,56.5,48.5,51.8,47.8,45.6,1,51,21.7,5,1,2,124.6,25,280,345,13,17,32,3,305,174,1.1,12.2
DeMarvion Overshown,76729,LB,TEXAS,8,0,6.5,62.5,77.8,13.4,8.4,0,3,2,12.5,311,69.3,67.5,85.9,57.8,66.0,47.0,1,44,20.0,1,2,0,90.1,10,140,180,4,4,16,1,158,133,1.2,15.8
Anthony Johnson Jr.,76736,CB,IOWA STATE,13,2,12.7,51.7,92.8,13.4,6.9,0,1,10,16.7,193,69.1,69.4,88.0,83.5,55.4,59.3,0,46,12.8,5,6,2,94.3,31,425,458,9,32,60,5,308,58,0.7,9.9
Terrence Ganyi,76739,LB,UCONN,7,0,-1.3,66.7,73.5,15.5,10.3,0,0,0,0.0,146,57.7,57.3,81.5,53.5,59.3,53.4,0,13,50.0,1,0,0,89.6,2,36,49,0,1,3,0,23,28,0.7,11.5
Jeremy Lucien,76740,CB,UCONN,11,0,16.1,61.1,99.2,10.0,6.1,0,0,1,5.6,146,50.7,52.4,7.5,59.7,66.1,54.8,0,19,21.4,3,1,3,124.8,11,121,122,2,11,18,4,139,32,1.3,12.6
Derek Bowman,76741,LB,KANSAS ST,1,0,,,100.0,,,0,0,0,,199,60.0,61.9,63.8,,60.0,,0,,,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0.0,
Ekow Boye-Doe,76742,CB,KANSAS ST,2,0,29.0,100.0,100.0,5.0,5.0,0,0,0,0.0,199,53.5,54.0,71.4,,60.2,,0,32,,0,0,0,118.8,1,5,5,0,0,1,0,32,3,6.4,32.0
Wayne Jones,76744,S,KANSAS ST,13,2,11.2,75.0,95.3,19.1,14.3,0,1,2,10.0,199,49.4,52.4,10.9,62.7,59.2,40.6,0,50,33.3,8,1,2,142.1,15,304,319,3,14,20,2,212,82,0.7,14.1
Kevion McGee,76746,CB,KANSAS ST,13,3,13.2,70.0,99.6,12.8,9.0,0,0,2,6.7,199,54.0,55.6,86.0,59.8,61.5,79.8,0,37,4.8,1,0,2,116.4,21,284,285,3,17,30,1,323,98,1.2,15.4
Lance Robinson,76747,CB,KANSAS ST,5,0,13.6,50.0,100.0,14.3,7.1,0,0,3,21.4,199,59.0,58.2,0.0,,61.6,55.7,0,58,20.0,1,2,2,117.0,7,105,105,1,4,14,2,113,36,1.1,16.1
James Harris Jr.,76753,CB,BOWL GREEN,2,0,,,100.0,,,0,0,0,,122,46.1,40.3,69.8,,60.0,,0,,,0,0,0,0.0,0,2,2,0,0,0,0,0,0,0.0,
Evan Brown,76754,LB,BOWL GREEN,4,0,3.0,100.0,83.3,13.0,13.0,0,0,0,0.0,122,56.8,44.0,74.2,58.2,38.2,25.3,0,6,50.0,2,0,0,91.7,1,15,18,2,2,1,0,6,3,0.5,6.0
Richie Carpenter Jr.,76757,CB,KENT STATE,4,0,6.0,100.0,77.8,1.8,1.8,0,0,0,0.0,201,26.5,34.6,80.0,58.9,66.4,77.8,0,20,0.0,0,0,0,103.1,4,7,9,1,1,4,0,35,11,5.0,8.8
Zedrick Raymond,76759,CB,MIAMI OH,13,2,13.3,58.1,99.5,14.1,8.2,0,1,6,14.0,221,62.0,63.3,50.7,78.5,66.1,63.3,0,53,8.7,2,5,7,131.0,25,375,377,5,19,43,6,422,142,1.2,16.9
Cecil Singleton Jr.,76760,S,MIAMI OH,9,0,4.0,80.0,97.5,9.1,7.3,0,1,0,0.0,221,66.4,70.2,80.4,59.0,75.0,60.2,0,37,33.3,2,0,1,129.6,8,79,81,3,4,10,1,71,54,1.0,8.9
Ja'don Rucker-Furlow,76761,CB,MIAMI OH,4,0,19.7,85.7,100.0,6.7,5.7,0,0,1,14.3,221,56.7,58.4,77.6,,64.8,80.7,0,61,0.0,0,1,0,158.3,6,42,42,1,5,7,4,141,56,3.5,23.5
Nate Bauer,76764,S,TOLEDO,12,2,7.4,73.7,97.0,10.9,8.1,0,0,1,5.3,316,61.8,56.0,20.8,57.1,48.2,56.7,0,24,6.7,1,0,1,119.4,14,160,165,6,12,19,2,95,49,0.6,6.8
Patrick Lupro,76765,CB,W MICHIGAN,13,1,9.8,66.1,97.0,9.4,6.2,0,1,6,10.2,347,78.2,71.3,50.8,64.3,46.8,52.5,3,59,11.6,5,3,4,89.9,39,389,401,14,37,59,4,444,128,1.2,11.4
Zaire Barnes,76766,S,W MICHIGAN,11,0,3.3,66.7,79.5,7.7,5.1,0,0,1,4.2,347,53.2,53.7,84.5,56.0,54.3,33.3,0,71,29.4,5,1,0,120.0,16,128,161,6,12,24,2,199,143,1.6,12.4
Keni-H Lovely,76768,CB,W MICHIGAN,5,0,3.3,66.7,100.0,10.5,7.0,0,0,1,33.3,347,67.9,64.9,77.1,,52.8,39.1,0,9,0.0,0,1,0,79.9,2,22,22,0,1,3,0,16,8,0.8,8.0
Jake Moertl,76771,CB,W MICHIGAN,1,0,,,100.0,,,0,0,0,,347,60.0,61.1,68.5,,60.4,,0,,,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0.0,
Caleb Biggers,76772,CB,BOWL GREEN,10,0,14.2,67.6,98.4,11.6,7.9,0,0,5,13.5,122,65.8,69.6,44.5,55.3,86.0,64.1,0,53,14.3,4,5,2,129.4,25,306,311,6,24,37,3,391,143,1.3,15.6
J.D. Harris,76774,CB,N ILLINOIS,1,0,0.0,0.0,100.0,,3.0,0,0,0,0.0,254,62.5,63.6,71.4,,60.5,,0,,,0,0,0,39.6,0,3,3,0,0,1,0,0,0,0.0,
Zhamaine March,76775,CB,N ILLINOIS,3,0,3.0,100.0,100.0,10.5,10.5,0,0,0,0.0,254,66.7,67.9,77.0,,69.2,79.1,0,9,0.0,0,0,0,94.8,4,42,42,1,4,4,0,27,15,0.6,6.8
Timarcus Simpson,76778,CB,E MICHIGAN,4,0,,,100.0,,,0,0,0,,160,66.0,66.5,73.8,,60.0,,0,,,0,0,0,0.0,0,16,16,0,0,0,0,0,0,0.0,
Jerodd Vines,76781,CB,E MICHIGAN,11,1,14.9,63.6,100.0,12.2,7.8,0,1,5,22.7,160,61.9,63.0,83.4,,64.8,46.5,0,87,13.3,2,4,0,145.5,14,179,179,4,12,22,5,268,100,1.6,19.1
Montrae Braswell,76783,CB,C MICHIGAN,13,0,15.1,51.1,98.9,10.8,5.5,0,2,7,14.9,134,64.8,62.4,84.2,63.3,50.0,51.2,1,74,25.0,6,6,1,106.4,24,271,274,9,18,47,4,477,187,1.8,19.9
Willie Reid,76784,S,C MICHIGAN,14,3,13.7,58.8,98.5,32.2,18.9,1,2,2,11.8,134,66.0,65.3,0.0,57.6,69.3,70.3,0,49,13.3,2,2,3,137.4,10,334,339,1,10,17,2,192,59,0.6,19.2
Rolliann Sturkey,76786,CB,C MICHIGAN,2,0,35.0,50.0,100.0,11.0,5.5,0,0,1,50.0,134,55.4,55.9,72.8,,60.3,73.5,0,46,0.0,0,1,0,135.4,1,11,11,0,1,2,1,46,10,4.2,46.0
Reggie Corner Jr.,76788,CB,AKRON,3,1,5.9,100.0,93.0,5.1,5.1,0,0,0,0.0,102,45.0,52.9,82.0,56.7,75.7,73.4,0,21,16.7,1,0,0,117.3,7,40,43,0,4,7,0,85,44,2.4,12.1
Charlie Thomas III,76790,LB,GA TECH,12,1,2.3,83.3,77.2,13.3,11.1,0,0,2,16.7,176,70.0,62.6,87.8,62.8,55.7,59.4,0,41,6.3,1,2,0,114.2,10,139,180,6,14,12,0,137,111,1.0,13.7
D'Shawn Jamison,76791,CB,TEXAS,12,2,11.2,58.2,95.8,10.3,6.0,0,1,5,9.1,311,73.6,73.4,85.1,58.3,68.0,49.9,3,50,23.3,7,3,2,74.1,32,343,358,8,21,55,3,371,135,1.1,11.6
Joseph Boletepeli,76806,ED,NC STATE,7,0,,,1.1,,,0,0,0,,248,60.0,69.5,80.9,63.5,70.7,65.2,0,,,0,0,0,0.0,0,1,92,2,0,0,0,0,0,0.0,
Xavier Thomas,76807,ED,CLEMSON,12,2,0.0,100.0,6.1,16.0,16.0,0,0,0,0.0,140,66.3,69.8,67.3,64.2,71.5,56.6,0,3,33.3,2,0,1,79.2,1,16,262,4,2,1,0,3,3,0.2,3.0
KJ Henry,76808,ED,CLEMSON,15,1,,,11.4,,,0,0,0,,140,60.9,62.1,86.0,64.2,57.6,42.4,0,,66.7,2,0,0,0.0,0,21,184,1,0,0,0,0,0,0.0,
Justin Mascoll,76809,ED,CLEMSON,15,0,,,3.2,,,1,0,0,,140,60.9,58.6,4.2,55.4,67.3,46.3,0,,100.0,1,0,3,0.0,0,4,124,0,0,0,0,0,0,0.0,
Myjai Sanders,76816,ED,CINCINNATI,14,1,8.0,0.0,2.1,,7.0,2,0,1,100.0,138,71.4,79.5,27.9,82.8,70.4,70.7,0,,33.3,2,0,4,39.6,0,7,330,8,3,1,0,0,0,0.0,
Mychal Keys,76817,ED,CINCINNATI,1,0,,,50.0,,,0,0,0,,138,60.0,60.2,68.5,59.4,60.0,,0,,,0,0,0,0.0,0,1,2,0,0,0,0,0,0,0.0,
Gary Wiley,76821,ED,SMU,13,1,6.6,100.0,26.1,8.2,8.2,0,0,0,0.0,287,66.3,64.6,48.4,63.0,63.2,84.8,0,96,0.0,0,0,1,158.3,5,41,157,5,3,5,1,130,97,3.2,26.0
Juan Monjarres,76823,ED,TULANE,5,0,1.3,100.0,15.2,3.3,3.3,0,0,0,0.0,319,57.9,71.0,83.5,70.9,68.2,60.9,0,9,66.7,2,0,0,79.2,3,10,66,1,1,3,0,8,4,0.8,2.7
Carlos Hatcher,76824,ED,TULANE,4,1,,,32.0,,,0,0,0,,319,65.2,62.1,80.7,56.6,61.2,80.8,0,,0.0,0,0,0,0.0,0,8,25,0,0,0,0,0,0,0.0,
Davon Wright,76825,DI,TULANE,12,1,,,0.6,,,0,0,0,,319,66.6,61.7,82.3,54.4,62.9,54.5,0,,28.6,2,0,0,0.0,0,1,179,3,4,0,0,0,0,0.0,
Zach Petersen,76835,ED,IOWA STATE,13,0,0.7,66.7,6.0,8.5,5.7,0,0,0,0.0,193,62.3,65.3,67.3,59.7,67.7,60.4,0,8,27.3,3,0,1,77.1,2,17,285,5,8,3,0,14,18,0.8,7.0
Ochaun Mathis,76838,ED,TCU,12,2,-0.5,50.0,5.1,19.0,9.5,1,0,0,0.0,305,56.8,63.0,52.2,59.8,67.6,62.6,0,-1,37.5,3,0,3,56.3,1,21,411,4,3,2,0,-1,2,-0.1,-1.0
Will McDonald IV,76842,ED,IOWA STATE,11,0,5.0,66.7,13.0,7.0,4.7,0,0,0,0.0,193,43.3,74.3,82.8,84.1,58.0,65.5,0,21,50.0,1,0,0,93.8,2,14,108,6,1,3,0,26,20,1.9,13.0
Azur Kamara,76843,ED,KANSAS,12,0,8.0,100.0,41.7,21.3,21.3,0,0,0,0.0,198,55.3,59.6,75.1,68.3,54.8,74.7,0,20,25.0,2,0,2,118.8,6,134,321,6,6,6,0,81,33,0.6,13.5
Najee Stevens-McKenzie,76844,ED,KANSAS,12,4,3.9,71.4,52.2,10.7,7.6,1,0,1,7.1,198,64.4,58.0,50.1,65.2,51.8,60.8,2,24,16.7,2,0,2,82.1,10,118,226,3,6,14,1,122,112,1.1,12.2
